screen_name,content,link,datetime
polka_lion,どうしよう<br>高校落ちた<br>どうしようどうしようどうしよう,https://x.com/polka_lion/status/1900531357174128835,1741956960
polka_lion,これって<br>春から行くとこないってこと？<br>ウソでしょ。。。<br>どうしよう<br>ああ<br>これって、夢じゃないよね,https://x.com/polka_lion/status/1900531608777904251,1741957020
polka_lion,ずっと泣きすぎて目が痛い<br>でも、頭からおふとんかぶって１日中ベッドに丸まってたら少しだけ浮上してきた<br>気がする<br>たぶん<br>とりあえずおなか減ったかも,https://x.com/polka_lion/status/1901556360820490620,1742201340
polka_lion,だから<br>きっと明日からは大丈夫,https://x.com/polka_lion/status/1901556612843942092,1742201400
polka_lion,だよね？<br>お願い誰かそうだって言って,https://x.com/polka_lion/status/1901556864099221975,1742201460
polka_lion,おばあちゃんに言われて学校に相談にいった<br>先生が今からでも入れる学校はあるって！<br>どうしようどうしよう！！ <br>ホントに！？<br>嬉しすぎるよ☀☀✨✨✨！！！,https://x.com/polka_lion/status/1902257229366952099,1742368440
polka_lion,ああ<br>もしコレが本当なら！<br>神様、いくらどんなに数学が苦手でも⛩⛩⛩<br>これからはもう少し逃げずに頑張るって約束します🙏🙏🙏✨✨！！,https://x.com/polka_lion/status/1902257480954212379,1742368500
polka_lion,polkaが行く予定の学校のパンフレットを見たよ<br>なんかすごい新しい学校らしい💦<br>ネット高校??<br>ってなに,https://x.com/polka_lion/status/1902919845714518083,1742526420
polka_lion,うーん<br>やっぱりなんかよくわからないんだけど<br>毎日通学しなくてよくて、制服も自由で、授業は配信でいつでも見れて<br>これ本当かな？<br>しかも！ 数学、カリキュラムめっちゃ少ない！！<br>これって天国かな☀✨,https://x.com/polka_lion/status/1902920097355743253,1742526480
polka_lion,明日は卒業式<br>高校受験のショックで忘れてたけど<br>中学校生活はそれなりに楽しいこともあったけど、気が重いことも多かったな<br>毎日重たい前髪が目の前にかかってるみたいな<br>正直、数学との戦いだった！<br>いつか数字のない世の中になったらいいのに✨✨,https://x.com/polka_lion/status/1904141395071246379,1742817660
polka_lion,ばいばい、中学校🌸<br>そして<br>ハロー☀新しい私🌻✨<br>私、４月からはL高校１年生になります✨✨<br>あれ？ <br>そういえば１年生とかっていう言い方もないんだっけ,https://x.com/polka_lion/status/1904391039701369141,1742877180
polka_lion,新しい高校の制服が届いた🎁<br>ってみんなが言ってた<br>あれ？<br>そういえば、私は制服の話って全然聞いてないけど💦<br>このままでいいのかな？,https://x.com/polka_lion/status/1904728764782698512,1742957700
polka_lion,あれあれあれ？<br>わぁ、もしかして制服ないとか⛩<br>すごいな、L高！,https://x.com/polka_lion/status/1904729016784830655,1742957760
polka_lion,私、体を締め付ける服が苦手で<br>ネクタイとかすぐに苦しくなっちゃってゆるゆるにして先生からよく怒られてたから<br>ちょっといいかも💛,https://x.com/polka_lion/status/1904729771562394053,1742957940
polka_lion,動きやすい服が好きだから、スカートもパンツも短めが好き💛<br>帰り道にかわいいにゃんこ🐱を見かけたから、ちょっと一緒に踊ったよ♪<br>Polkaには猫の言ってることがわかる！ <br>気がするんだ、昔から,https://x.com/polka_lion/status/1905535077972328455,1743149940
polka_lion,いよいよ明日から4月！<br>polkaの新生活ももうすぐそこだ～🌻♪<br>一時はもう高校生にはなれないかもって思ってたから<br>地獄に仏、猫に小判！<br>なんかいろいろ身に染みる感じ,https://x.com/polka_lion/status/1906680877972594892,1743423120
polka_lion,嬉しいけど緊張するし、緊張するけどなんかワクっとする感じ<br>おへその奥がもぞもぞしてきて<br>うーん、浮かれてるな私💛<br>めっちゃ踊っちゃう～☀✨,https://x.com/polka_lion/status/1906681129782153270,1743423180
polka_lion,でも今日くらいいいよね？<br>浮かれて踊って<br>元気を出して💪✨<br>いざ新しい高校に飛び込む！🌊,https://x.com/polka_lion/status/1906681381201248361,1743423240
polka_lion,数学が苦手なのを放置したこともちゃんと反省して今度こそは頑張るって決意したし<br>そうだ、アルゼンチンにいるママとパパにメッセージしておかなきゃ<br>いろいろあったけど<br>今日もpolkaは元気で踊ってます🌻✨♪,https://x.com/polka_lion/status/1906681633169711221,1743423300
